,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
240,high rock,26.6208,-78.2833,84.22,80,100,21.05,BS,1627136117
241,kristiinankaupunki,62.2743,21.376,63.19,56,34,8.16,FI,1627136117
242,bathsheba,13.2167,-59.5167,86.61,74,40,14.97,BB,1627136118
243,oistins,13.0667,-59.5333,86.09,74,40,14.97,BB,1627136053
244,nosy varika,-20.5833,48.5333,65.12,95,91,12.06,MG,1627136119
245,kavaratti,10.5669,72.642,82.0,83,20,17.94,IN,1627136119
246,frontera,26.9333,-101.45,83.32,59,1,0.0,MX,1627136119
247,siyana,28.6277,78.0599,89.87,61,100,10.56,IN,1627136120
248,pathein,16.7833,94.7333,79.81,89,100,8.05,MM,1627136120
249,dombarovskiy,50.7587,59.5386,73.67,65,93,9.6,RU,1627136120
250,qianan,44.9932,124.0581,74.16,88,100,9.13,CN,1627136121
251,palmer,42.1584,-72.3287,75.67,65,20,1.01,US,1627136121
252,beringovskiy,63.05,179.3167,50.61,90,100,9.24,RU,1627136121
253,joshimath,30.5667,79.5667,74.66,97,99,2.15,IN,1627136122
254,mobaye,4.319,21.1786,82.65,64,95,2.84,CF,1627136122
255,waingapu,-9.6567,120.2641,73.17,74,6,5.68,ID,1627136122
256,makakilo city,21.3469,-158.0858,77.32,75,40,4.61,US,1627136123
257,sabha,27.0377,14.4283,95.59,13,0,12.82,LY,1627136123
258,biak,-0.9131,122.8766,75.43,74,100,5.88,ID,1627136123
259,pointe-noire,-4.7761,11.8635,76.32,70,6,10.65,CG,1627136068
260,haines junction,60.7522,-137.5108,47.07,90,100,3.53,CA,1627136124
261,gizo,-8.103,156.8419,82.24,76,62,4.18,SB,1627136124
262,esna,25.2934,32.554,102.29,14,0,16.26,EG,1627136124
263,ahuimanu,21.4447,-157.8378,78.51,77,75,11.5,US,1627136125
264,san angelo,31.4638,-100.437,84.97,73,1,3.0,US,1627136125
265,prince rupert,54.3161,-130.3201,53.69,100,90,4.61,CA,1627135984
266,zaraza,9.3503,-65.3245,78.22,88,100,1.86,VE,1627136125
267,dingle,10.9995,122.6711,78.78,82,97,12.19,PH,1627136125
268,baykit,61.67,96.37,71.73,65,95,2.8,RU,1627136126
269,mandera,3.9366,41.867,90.68,27,100,23.49,KE,1627136126
270,korla,41.7597,86.1469,96.3,16,0,6.82,CN,1627136127
271,moscow,55.7522,37.6156,71.83,38,76,8.25,RU,1627135933
272,ahipara,-35.1667,173.1667,51.96,88,16,7.56,NZ,1627136127
273,norman wells,65.282,-126.8329,55.33,72,50,7.58,CA,1627136127
274,ternate,0.8,127.4,81.45,77,100,8.08,ID,1627136127
275,odweyne,9.4092,45.064,74.88,49,100,24.94,SO,1627136128
276,saint-pierre,-21.3393,55.4781,73.08,70,20,13.8,RE,1627136128
277,yairipok,24.6667,94.0667,73.15,95,99,2.26,IN,1627136128
278,charters towers,-20.1,146.2667,62.6,44,83,10.87,AU,1627136129
279,laguna,38.421,-121.4238,76.23,68,1,3.0,US,1627136129
280,port lincoln,-34.7333,135.8667,51.44,61,58,29.44,AU,1627136129
281,luebo,-5.35,21.4167,97.5,17,6,5.66,CD,1627136130
282,santa maria,-29.6842,-53.8069,76.3,44,0,2.3,BR,1627136130
283,college,64.8569,-147.8028,61.59,95,90,0.0,US,1627135937
284,plettenberg bay,-34.0527,23.3716,59.86,44,0,5.19,ZA,1627136130
285,santa flavia,38.085,13.5351,94.62,55,0,11.01,IT,1627136131
286,mount isa,-20.7333,139.5,53.37,43,95,0.0,AU,1627136002
287,frankfort,-27.2667,28.4833,52.45,18,0,6.96,ZA,1627135991
288,khanewal,30.3,71.9333,98.42,33,49,6.33,PK,1627136131
289,grande prairie,55.1667,-118.8027,60.85,51,1,15.41,CA,1627136131
290,margate,51.3813,1.3862,74.1,82,25,4.03,GB,1627136132
291,tierralta,8.1736,-76.0592,77.0,93,100,3.38,CO,1627136132
292,cairns,-16.9167,145.7667,67.95,96,89,0.0,AU,1627136132
293,mutare,-18.9707,32.6709,61.29,37,12,9.98,ZW,1627136132
294,yumen,40.2833,97.2,79.63,43,100,16.98,CN,1627136133
295,bloemfontein,-29.1211,26.214,54.88,26,0,9.22,ZA,1627136133
296,betioky,-23.7167,44.3833,67.19,41,14,12.8,MG,1627136133
297,san rafael del sur,11.8485,-86.4384,81.61,63,100,5.21,NI,1627136134
298,malindi,-3.2175,40.1191,78.33,71,12,24.29,KE,1627136134
299,bethel,41.3712,-73.414,77.85,64,1,1.99,US,1627136134
300,bintulu,3.1667,113.0333,81.68,85,20,2.89,MY,1627136124
301,kieta,-6.2167,155.6333,79.18,84,73,3.22,PG,1627136135
302,paita,-5.0892,-81.1144,72.16,77,19,8.23,PE,1627136135
303,rio gallegos,-51.6226,-69.2181,37.45,70,0,9.22,AR,1627136113
304,ixtapa,20.7,-105.2,78.22,94,90,3.44,MX,1627136135
305,anadyr,64.75,177.4833,57.0,93,100,5.99,RU,1627136136
306,nanortalik,60.1432,-45.2371,43.79,97,100,10.87,GL,1627136136
307,jiuquan,39.7432,98.5174,80.42,44,100,16.53,CN,1627136136
308,san juan,-31.5375,-68.5364,52.66,39,5,4.79,AR,1627136130
309,asau,46.4333,26.4,77.95,35,90,3.11,RO,1627136137
310,pangai,-19.8,-174.35,78.1,83,0,10.02,TO,1627136137
311,udimskiy,61.1417,45.9144,54.97,49,100,8.12,RU,1627136137
312,uruzgan,32.8333,66.0,91.58,11,19,3.69,AF,1627136137
313,benton harbor,42.1167,-86.4542,80.49,82,55,1.01,US,1627135893
314,avera,33.194,-82.5271,83.37,68,0,5.59,US,1627136138
315,gladstone,-23.85,151.25,67.93,28,0,6.91,AU,1627136123
316,kingman,35.1894,-114.053,79.3,66,75,3.0,US,1627136138
317,mount gambier,-37.8333,140.7667,41.38,92,100,14.56,AU,1627135932
318,macamic,48.7502,-78.9996,68.23,66,100,12.53,CA,1627136138
319,loa janan,-0.583,117.095,76.12,91,26,3.96,ID,1627136139
320,dumas,35.8656,-101.9732,77.04,60,1,3.44,US,1627136139
321,zemio,5.0314,25.1361,80.46,65,94,6.11,CF,1627136139
322,molochnoye,59.2917,39.6787,63.97,36,94,10.51,RU,1627136140
323,yerofey pavlovich,53.9667,121.9667,57.65,98,100,4.14,RU,1627136140
324,pacific grove,36.6177,-121.9166,56.43,94,90,3.0,US,1627136140
325,conde,-7.2597,-34.9075,81.86,65,40,18.41,BR,1627136140
326,kota kinabalu,5.9749,116.0724,84.18,89,20,0.0,MY,1627136141
327,kangaatsiaq,68.3065,-53.4641,39.24,92,94,12.88,GL,1627136141
328,lebrija,36.9208,-6.0753,95.49,21,0,8.05,ES,1627136141
329,nelidovo,56.2211,32.7774,68.59,39,100,0.4,RU,1627136142
330,mananara,-16.1667,49.7667,71.28,69,23,8.39,MG,1627136142
331,iquitos,-3.7481,-73.2472,77.04,88,75,1.14,PE,1627136047
332,esmeralda,21.8525,-78.1169,83.44,71,27,7.45,CU,1627136142
333,bulgan,48.8125,103.5347,59.76,83,100,1.7,MN,1627136143
334,kondopoga,62.2057,34.2614,62.51,42,100,6.55,RU,1627136143
335,namibe,-15.1961,12.1522,74.71,54,0,7.65,AO,1627136143
336,luanda,-8.8368,13.2343,77.0,65,20,10.36,AO,1627135920
337,viedma,-40.8135,-62.9967,48.54,52,100,7.29,AR,1627136144
338,chokurdakh,70.6333,147.9167,35.13,91,17,12.48,RU,1627136144
339,general roca,-39.0333,-67.5833,45.73,40,100,11.03,AR,1627136144
340,camacha,33.0833,-16.3333,77.76,61,20,17.27,PT,1627136144
341,pascagoula,30.3658,-88.5561,86.05,77,1,6.91,US,1627135979
342,cedral,23.8,-100.7333,64.06,64,6,5.14,MX,1627136145
343,mapastepec,15.4333,-92.9,82.56,64,100,2.59,MX,1627136145
344,barinas,8.6226,-70.2075,78.44,82,100,3.56,VE,1627136145
345,bubaque,11.2833,-15.8333,78.84,75,92,6.44,GW,1627136146
346,nikko,36.75,139.6167,71.94,97,65,0.78,JP,1627136056
347,pangnirtung,66.1451,-65.7125,46.4,76,90,6.91,CA,1627136146
348,gaziantep,37.0594,37.3825,93.13,20,0,3.44,TR,1627135891
349,deputatskiy,69.3,139.9,49.39,67,82,7.11,RU,1627136146
350,caborca,30.5838,-111.101,79.95,49,100,5.5,MX,1627136147
351,lanzhou,36.0564,103.7922,82.51,52,34,7.27,CN,1627135949
352,sibu,2.3,111.8167,78.85,78,93,0.54,MY,1627136147
353,sao geraldo do araguaia,-6.4006,-48.555,90.66,30,23,9.86,BR,1627136147
354,la rinconada,37.4873,-5.9826,95.85,12,0,4.61,ES,1627136148
355,souillac,-20.5167,57.5167,71.98,68,40,5.75,MU,1627136148
356,harstad,68.799,16.5293,57.29,98,100,11.01,NO,1627136148
357,ponta delgada,37.7333,-25.6667,74.12,83,40,14.97,PT,1627136149
358,evanston,42.0411,-87.6901,82.98,76,40,1.99,US,1627136149
359,qufu,35.5967,116.9911,78.62,78,5,5.48,CN,1627136149
360,lasa,46.6166,10.7002,80.51,66,92,6.78,IT,1627136150
361,byron bay,-28.65,153.6167,57.06,62,2,11.56,AU,1627136060
362,weligama,5.9667,80.4167,77.95,90,81,8.93,LK,1627136150
363,smithers,54.7804,-127.1743,51.26,94,99,1.19,CA,1627135931
364,jiancheng,30.391,104.5491,77.2,90,1,4.0,CN,1627136150
365,douentza,14.9951,-2.9517,94.75,38,65,5.23,ML,1627136151
366,tabas,33.5959,56.9244,107.96,7,0,15.9,IR,1627136151
367,mokhsogollokh,61.4681,128.9203,59.61,97,100,6.22,RU,1627136151
368,quatre cocos,-20.2078,57.7625,71.71,70,56,10.49,MU,1627136151
369,batemans bay,-35.7167,150.1833,52.99,72,67,4.79,AU,1627136152
